[2019-09-09 08:56:19,950] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/33.jpg 304 [0.01, 127.0.0.1:3045]
[2019-09-09 08:56:19,956] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/index/1.png 304 [0.04, 127.0.0.1:3040]
[2019-09-09 08:56:19,958] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/34.jpg 304 [0.02, 127.0.0.1:3044]
[2019-09-09 08:56:19,964] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/35.jpg 304 [0.05, 127.0.0.1:3039]
[2019-09-09 08:56:20,003] [runserver.py:141] [runserver:log_action] [INFO]- HTTP GET /static/index/%E5%9B%9E%E5%AE%B6.mp3 200 [0.06, 127.0.0.1:3047]
[2019-09-09 08:57:28,918] [runserver.py:141] [runserver:log_action] [INFO]- HTTP GET /index/ 200 [0.03, 127.0.0.1:3150]
[2019-09-09 08:57:28,957] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/9.jpg 304 [0.01, 127.0.0.1:3150]
[2019-09-09 08:57:28,960] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/10.jpg 304 [0.01, 127.0.0.1:3151]
[2019-09-09 08:57:29,003] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/21.jpg 304 [0.02, 127.0.0.1:3151]
[2019-09-09 08:57:29,007] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/23.jpg 304 [0.02, 127.0.0.1:3150]
[2019-09-09 08:57:29,011] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/24.jpg 304 [0.02, 127.0.0.1:3155]
[2019-09-09 08:57:29,014] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/25.jpg 304 [0.02, 127.0.0.1:3156]
[2019-09-09 08:57:29,018] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/27.jpg 304 [0.02, 127.0.0.1:3158]
[2019-09-09 08:57:29,019] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/26.jpg 304 [0.02, 127.0.0.1:3157]
[2019-09-09 08:57:29,037] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/29.jpg 304 [0.01, 127.0.0.1:3150]
[2019-09-09 08:57:29,049] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/30.jpg 304 [0.02, 127.0.0.1:3151]
[2019-09-09 08:57:29,050] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/28.jpg 304 [0.03, 127.0.0.1:3155]
[2019-09-09 08:57:29,053] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/31.jpg 304 [0.02, 127.0.0.1:3157]
[2019-09-09 08:57:29,063] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/32.jpg 304 [0.02, 127.0.0.1:3158]
[2019-09-09 08:57:29,066] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/33.jpg 304 [0.02, 127.0.0.1:3156]
[2019-09-09 08:57:29,075] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/34.jpg 304 [0.02, 127.0.0.1:3150]
[2019-09-09 08:57:29,085] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/index/bg.jpg 304 [0.01, 127.0.0.1:3155]
[2019-09-09 08:57:29,089] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/35.jpg 304 [0.02, 127.0.0.1:3157]
[2019-09-09 08:57:29,092] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/index/1.png 304 [0.01, 127.0.0.1:3158]
[2019-09-09 08:57:29,157] [runserver.py:141] [runserver:log_action] [INFO]- HTTP GET /static/index/%E5%9B%9E%E5%AE%B6.mp3 200 [0.07, 127.0.0.1:3156]
[2019-09-09 08:57:30,000] [runserver.py:141] [runserver:log_action] [INFO]- HTTP GET /index/ 200 [0.03, 127.0.0.1:3158]
[2019-09-09 08:57:30,039] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/10.jpg 304 [0.01, 127.0.0.1:3157]
[2019-09-09 08:57:30,042] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/9.jpg 304 [0.01, 127.0.0.1:3158]
[2019-09-09 08:57:30,082] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/21.jpg 304 [0.01, 127.0.0.1:3158]
[2019-09-09 08:57:30,085] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/23.jpg 304 [0.02, 127.0.0.1:3157]
[2019-09-09 08:57:30,087] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/24.jpg 304 [0.01, 127.0.0.1:3155]
